People_ID,d20,d21,d22,d23,d24,d25,d26,d27
1,441,544,670,821,1002,1216,1473,1782
2,151,197,253,322,400,493,607,742
3,416,515,632,777,948,1150,1396,1688
4,410,506,621,762,928,1127,1368,1655
5,390,483,595,730,893,1084,1316,1593
6,389,481,591,724,883,1072,1301,1575
7,322,401,497,611,749,912,1110,1345
8,194,247,310,389,483,593,725,884
9,310,385,477,589,721,878,1070,1297
10,242,303,379,470,579,708,865,1051
11,373,464,571,702,858,1042,1266,1532
12,192,245,310,390,482,592,726,884
13,403,498,613,751,917,1114,1353,1637
14,120,157,204,262,329,407,504,618
15,382,474,583,718,876,1065,1294,1566
16,239,302,378,471,581,710,866,1053
17,199,254,319,399,494,606,742,904
18,182,232,295,372,462,567,695,848
19,181,233,295,372,463,569,699,852
20,220,279,351,439,542,664,813,989
21,246,308,385,480,591,722,881,1071
22,220,278,350,436,539,660,808,983
23,415,514,632,776,946,1148,1392,1684
24,203,259,325,404,501,614,752,916
25,148,191,243,309,387,477,588,719
26,381,473,584,719,878,1066,1293,1566
27,251,315,392,486,597,729,888,1080
28,185,236,300,378,469,576,704,860
29,365,454,560,688,842,1023,1242,1504
30,405,501,617,755,921,1118,1357,1642
31,240,304,380,474,583,712,869,1057
32,236,297,372,464,574,701,858,1042
33,315,393,486,601,737,897,1090,1322
34,253,318,398,492,605,739,901,1095
35,289,361,448,556,681,830,1012,1227
36,281,351,437,542,665,811,989,1200
37,200,253,319,401,496,609,747,909
38,365,453,558,686,838,1019,1237,1498
39,189,240,303,378,470,577,706,862
40,177,225,286,361,449,551,676,825
41,364,453,560,687,840,1020,1238,1500
42,189,243,307,383,476,584,716,873
43,346,431,533,656,803,977,1186,1437
44,427,525,645,790,963,1169,1417,1714
45,258,323,403,498,613,748,914,1110
46,122,160,207,264,331,410,508,623
47,287,357,445,551,676,824,1002,1217
48,445,548,672,821,1000,1213,1470,1778
49,122,159,205,263,331,410,507,622
50,367,455,561,691,843,1024,1243,1506
51,226,286,359,447,552,675,825,1004
52,241,305,380,471,580,709,866,1053
53,416,513,630,774,943,1144,1389,1680
54,116,153,200,255,322,399,493,606
55,318,395,488,603,740,901,1095,1328
56,363,452,556,685,837,1017,1236,1496
57,224,283,356,443,548,670,820,997
58,253,320,398,493,609,744,907,1102
59,347,432,534,659,805,979,1188,1440
60,236,298,372,461,569,696,849,1033
61,125,163,212,269,337,417,517,633
62,242,304,381,471,580,709,865,1052
63,251,316,395,492,607,741,904,1099
64,366,454,562,692,844,1026,1245,1508
65,223,281,351,439,542,664,813,989
66,288,359,446,551,678,826,1006,1221
67,305,381,474,583,716,873,1061,1288
68,327,405,501,619,757,922,1121,1359
69,358,446,551,676,827,1006,1223,1481
70,208,266,334,419,517,634,776,945
71,210,265,332,416,514,629,771,938
72,234,294,367,458,564,690,842,1024
73,114,151,196,253,318,395,488,600
74,313,392,487,602,738,898,1093,1325
75,390,481,594,730,890,1081,1311,1587
76,239,303,380,474,584,714,873,1061
77,446,548,674,826,1005,1220,1479,1788
78,225,284,356,445,551,674,825,1003
79,445,547,671,819,998,1211,1468,1775
80,272,339,421,522,641,782,954,1158
81,323,404,500,616,755,919,1119,1356
82,159,205,261,328,410,505,621,759
83,235,297,371,463,572,699,854,1038
84,295,370,458,566,693,845,1028,1248
85,143,185,238,304,378,467,576,704
86,397,492,605,744,908,1103,1339,1620
87,183,235,296,371,462,567,697,849
88,244,308,385,476,587,718,875,1064
89,280,349,434,539,663,809,985,1196
90,276,347,431,532,652,795,970,1177
91,390,481,593,729,891,1083,1314,1591
92,421,519,640,785,958,1163,1410,1706
93,303,379,470,580,712,867,1056,1280
94,425,526,645,791,965,1170,1419,1716
95,217,275,345,430,532,652,797,970
96,129,169,219,279,349,432,533,653
97,134,174,225,285,357,442,546,668
98,149,195,248,314,393,485,598,731
99,349,433,536,659,808,982,1193,1445
100,356,441,545,670,819,996,1210,1466
101,193,245,308,387,480,589,722,880
102,390,483,596,732,893,1084,1317,1593
103,244,307,385,478,589,720,878,1068
104,332,414,511,630,773,940,1144,1386
105,136,179,230,291,365,451,555,680
106,360,446,551,677,829,1008,1224,1483
107,230,289,363,454,560,685,839,1019
108,274,345,429,533,656,800,974,1183
109,353,440,542,665,812,988,1202,1455
110,254,319,397,491,605,740,902,1096
111,413,511,629,771,941,1143,1386,1677
112,320,399,495,609,747,909,1105,1340
113,332,414,514,634,776,944,1149,1392
114,400,493,607,745,909,1104,1339,1621
115,200,253,319,397,492,603,738,900
116,270,339,422,523,644,786,957,1163
117,179,229,289,363,452,555,681,831
118,254,321,399,497,611,746,912,1107
119,382,473,582,717,874,1061,1288,1559
120,344,426,526,646,790,961,1170,1417
121,337,420,521,641,785,955,1159,1405
122,199,252,319,399,492,604,741,902
123,252,318,396,493,607,741,903,1098
124,294,367,456,564,694,846,1030,1250
125,115,151,198,252,316,393,486,597
126,204,260,327,410,508,623,763,929
127,442,545,671,821,1001,1215,1473,1781
128,229,290,363,452,558,683,835,1015
129,248,314,392,488,601,734,896,1089
130,371,459,565,696,851,1034,1256,1521
131,295,370,459,567,698,850,1035,1256
132,125,165,212,272,341,422,520,638
133,414,510,626,767,936,1136,1377,1667
134,413,510,626,765,933,1133,1375,1663
135,355,439,542,667,817,993,1208,1462
136,367,454,559,686,839,1020,1237,1499
137,119,158,204,260,326,405,500,614
138,191,243,306,383,476,584,715,872
139,316,392,485,596,730,890,1083,1313
140,265,333,416,516,634,774,944,1146
141,139,182,235,300,373,461,569,696
142,349,435,537,661,809,983,1195,1447
143,412,507,624,764,932,1132,1372,1661
144,208,263,329,413,509,624,765,931
145,299,373,462,572,701,854,1039,1261
146,280,351,435,540,662,808,984,1195
147,252,315,394,490,602,736,899,1092
148,139,181,234,296,371,459,567,693
149,344,428,528,648,792,963,1171,1419
150,207,262,329,411,508,623,763,929
151,255,322,403,498,613,748,912,1108
152,179,228,288,360,447,550,674,823
153,143,187,241,306,384,474,584,714
154,348,432,533,655,799,972,1182,1432
155,279,349,434,539,661,806,981,1191
156,285,356,444,550,676,824,1004,1218
157,256,321,402,500,617,753,918,1116
158,249,314,393,488,599,732,894,1086
159,227,285,358,444,549,672,821,999
160,155,202,258,324,404,497,612,748
161,256,320,398,493,608,742,907,1101
162,315,392,485,598,732,891,1084,1314
163,317,396,492,605,740,901,1095,1328
